Ticker,Description,Last,Volume,Market Capitalization,Sector,Industry,Exchange
OSI,OSINO RESOURCES CORP,1.32,110700,134780000,Non-Energy Minerals,Other Metals/Minerals,TSXV
OSK,OSISKO MINING INC,3.07,511023,1090950000,Non-Energy Minerals,Other Metals/Minerals,TSX
PAT,PATRIOT ONE TECHNOLOGIES INC,0.51,255085,73857200,Electronic Technology,Aerospace & Defense,TSX
PAY,PAYFARE INC,7.75,305309,331196000,Commercial Services,Miscellaneous Commercial Services,TSX
PBX,POWERBAND SOLUTIONS INC,0.69,1342430,71111100,Retail Trade,Catalog/Specialty Distribution,TSXV
PCLO,PHARMACIELO LTD,1.59,213513,169558000,Process Industries,Agricultural Commodities/Milling,TSXV
PD,PRECISION DRILLING CORPORATION,33.36,170471,425458000,Industrial Services,Contract Drilling,TSX
PDM,PALLADIUM ONE MINING INC,0.285,246766,52509600,Non-Energy Minerals,Other Metals/Minerals,TSXV
PEY,PEYTO EXPLORATION AND DVLPMNT CORP.,5.16,445028,813159000,Energy Minerals,Oil & Gas Production,TSX
PGM,PURE GOLD MINING INC,1.24,1607823,517047000,Non-Energy Minerals,Precious Metals,TSXV
PGZ,PAN GLOBAL RESOURCES INC.,0.53,110055,79738400,Non-Energy Minerals,Other Metals/Minerals,TSXV
PHO,PHOTON CONTROL INC,2.74,143301,288668000,Electronic Technology,Electronic Equipment/Instruments,TSX
PIPE,PIPESTONE ENERGY CORP,1.65,135018,290188000,Energy Minerals,Integrated Oil,TSX
PKI,PARKLAND CORPORATION,40.26,562279,5831390000,Distribution Services,Wholesale Distributors,TSX
PKK,PEAK FINTECH GROUP,2.96,293723,243930000,Communications,Specialty Telecommunications,CSE
PLTH,PLANET 13 HOLDINGS,8.54,119483,1697490000,Process Industries,Agricultural Commodities/Milling,CSE
PLU,PLATEAU ENERGY METALS INC,0.64,176657,70286300,Non-Energy Minerals,Other Metals/Minerals,TSXV
PNG,KRAKEN ROBOTICS INC,0.66,314224,110779000,Miscellaneous,Miscellaneous,TSXV
POU,PARAMOUNT RESOURCES LTD.,10.06,180593,1299900000,Energy Minerals,Oil & Gas Production,TSX
PRMW,PRIMO WATER CORPORATION,20.55,146264,3327200000,Consumer Non-Durables,Beverages: Non-Alcoholic,TSX
PRYM,PRIME MINING CORP,3.07,305047,265278000,Non-Energy Minerals,Other Metals/Minerals,TSXV
PSK,PRAIRIESKY ROYALTY LTD,14.13,430146,3092710000,Energy Minerals,Integrated Oil,TSX
PTK,POET TECHNOLOGIES INC,1.04,409982,376010000,Electronic Technology,Electronic Components,TSXV
PTQ,PROTECH HOME MEDICAL CORP,2.15,419405,243641000,Health Services,Services to the Health Industry,TSXV
PVG,PRETIUM RESOURCES INC.,13.79,177764,2645860000,Non-Energy Minerals,Precious Metals,TSX
PXT,PAREX RESOURCES INC,22.4,413702,2831950000,Energy Minerals,Oil & Gas Production,TSX
PYR,PYROGENESIS CANADA INC,7.04,620706,768119000,Industrial Services,Environmental Services,TSX
QTRH,QUARTERHILL INC,2.48,223697,276659000,Finance,Financial Conglomerates,TSX
QUIS,QUISITIVE TECHNOLOGY SOLUTIONS INC,1.62,115480,97691100,Technology Services,Information Technology Services,TSXV
QYOU,QYOU MEDIA INC,0.29,1371446,111142000,Miscellaneous,Miscellaneous,TSXV
RCG,RF CAPITAL GROUP INC,2.35,199256,338351000,Finance,Investment Banks/Brokers,TSX
RDS,RADISSON MINING RESOURCES INC.,0.275,363930,61137300,Non-Energy Minerals,Precious Metals,TSXV
REAL,REAL MATTERS INC,16.06,248902,1358600000,Technology Services,Internet Software/Services,TSX
